file_name,error,time,path_flag,nqubit,npau,single_qubit_gates,multi_qubit_gates,status,message
DataSet1/dir_200_2500/BK_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt,0.1,0.7854,1,12,631,1699942980,5696774235,ok,
DataSet1/dir_200_2500/BK_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt,0.1,0.7854,2,12,631,111771944,243892411,ok,
DataSet1/dir_200_2500/BK_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt,0.1,0.7854,3,12,631,1858,3526,ok,
DataSet1/dir_200_2500/BK_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt,0.1,0.7854,4,12,631,1866,3416,ok,
DataSet1/dir_200_2500/BK_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt,0.1,0.7854,11,12,631,26019936480,1550092515,ok,
DataSet1/dir_200_2500/BK_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt,0.1,0.7854,12,12,631,1264680995,36580963,ok,
DataSet1/dir_200_2500/BK_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt,0.1,0.7854,13,12,631,42152,3810,ok,
DataSet1/dir_200_2500/BK_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt,0.1,0.7854,14,12,631,41738,3810,ok,
DataSet1/dir_200_2500/BK_N2_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_1177_paulis.txt,0.1,0.7854,1,16,1177,7460981883,25707483968,ok,
DataSet1/dir_200_2500/BK_N2_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_1177_paulis.txt,0.1,0.7854,2,16,1177,365150484,877889972,ok,
DataSet1/dir_200_2500/BK_N2_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_1177_paulis.txt,0.1,0.7854,3,,,,,error,"[DBG] Expected error: 0.100000;   t: 0.785400
[DBG] Analyzing DataSet1/dir_200_2500/BK_N2_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_1177_paulis.txt:
[DBG] Length of Pauli String 1177

[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----
[DBG] Dealing with 45441 pauli strings; lambda = 60.625823; relaxation factor: 1.002098.
decompose to voqc
convert to full gate set
convert to rzq"
